country,happiness,log_gdp,life_exp,generosity
Afghanistan,3.203,7.440942374181819,52.25454538454545,0.09598050081818181
Albania,4.719,9.262285926,67.25454503818182,-0.0929075660909091
Algeria,5.211,9.5036680222,65.116000366,-0.1986555964
Argentina,6.086,9.825670829,67.71538485,-0.15491403476923077
Armenia,4.559,8.925997073769231,65.63076899615385,-0.1882672366153846
Australia,7.228,10.668708021818182,72.56363608545455,0.28543876927272727
Austria,7.246,10.700700760909092,71.85818204090909,0.14587532727272728
Azerbaijan,5.208,9.630238092923078,63.80000011846154,-0.18611540238461538
Bahrain,6.199,10.645951111666667,67.18666712333334,0.045612223333333334
Bangladesh,4.456,7.9088745483076925,61.57692307769231,-0.027718024307692306
Belarus,5.323,9.69012194423077,63.54615402230769,-0.17517723084615386
Belgium,6.923,10.63772218909091,71.15454656454546,-0.004203475818181817
Benin,4.883,7.5686161041,52.539999771,-0.0376073401
Bhutan,5.082,8.907667795666667,59.90000025333333,0.3084997036666667
Bolivia,5.779,8.674751134923078,61.53846153846154,-0.043032605
Bosnia and Herzegovina,5.386,9.253979682818182,66.89272724545455,0.03387176272727272
Botswana,3.488,9.593870076181819,54.580000444545455,-0.1957828578181818
Brazil,6.3,9.571877913090908,65.14000008454545,-0.09102076645454546
Bulgaria,5.011,9.7148798942,66.059999847,-0.1650049168
Burkina Faso,4.587,7.325637141916666,50.7300004975,-0.027501131833333334
Burundi,3.775,6.6287601471999995,50.916000368,-0.0324238014
Cambodia,4.7,7.955888821538461,58.94615378769231,0.18312360315384615
Cameroon,5.044,8.035231333538462,49.14615396307693,-0.021053837
Canada,7.278,10.648498536153847,72.50922980692307,0.23095509692307692
Central African Republic,3.083,6.6604643822,43.356001282,0.0458244408
Chad,4.35,7.530406731846154,45.700000175384616,-0.008042617846153847
Chile,6.444,9.940409367692308,69.22307704076923,0.10061366415384615
China,5.191,9.327680428916667,68.05999946583333,-0.19176336058333332
Colombia,6.125,9.370048156153846,66.25384580153846,-0.07788528746153846
Comoros,3.973,7.2566669462,55.324000548,0.011823149800000002
Congo (Brazzaville),4.812,8.549083921666666,55.64444478222222,-0.1354193611111111
Congo (Kinshasa),4.418,6.613027036,51.35500001875,0.0089247725
Costa Rica,7.167,9.528552935692307,70.30000011692307,0.013232676615384614
Croatia,5.432,9.95892897590909,68.40545446272728,-0.1401031870909091
Cyprus,6.046,10.377583789,72.690000915,0.0657775149
Czech Republic,6.852,10.307466604,68.754000852,-0.152031491
Denmark,7.6,10.719682216666666,71.0199998225,0.18921296133333335
Dominican Republic,5.425,9.386959222615385,64.2307689376923,-0.04785091753846154
Ecuador,6.028,9.205796975307692,67.16923170846154,-0.11193826430769231
Egypt,4.166,9.198460261,60.519999821666666,-0.13519258108333335
El Salvador,6.253,8.80710645823077,64.55384621230769,-0.11788672476923077
Estonia,5.893,10.188165268333332,67.06666628416667,-0.18948070641666667
Ethiopia,4.286,7.323557376714286,56.91428593285714,0.037694175999999996
Finland,7.769,10.602655498181818,71.02181868181817,0.014454840818181817
France,6.592,10.5342905525,72.694999695,-0.09407262508333333
Gabon,4.799,9.711026668625,57.72500038,-0.21454466875
Gambia,4.516,7.353572845,54.70000076,0.126379773
Georgia,4.519,8.94405995876923,64.90769254307692,-0.2286419466923077
Germany,6.985,10.663602309090908,71.23090986909091,0.096944707
Ghana,4.996,8.12269485,54.625,0.06199189508333333
Greece,5.287,10.166370391818182,71.70000041727273,-0.28551546563636365
Guatemala,6.436,8.850690401538461,62.80769230769231,0.07847837053846153
Guinea,4.534,7.497419834125,51.65000009625,0.03488315325
Haiti,3.597,7.383703405090909,47.04909064545455,0.307247564
Honduras,5.86,8.335816383384616,65.91538473230769,0.08380264084615384
Hong Kong S.A.R. of China,5.43,10.810741317777778,75.12675984777778,0.21290272477777777
Hungary,5.758,10.076768876,66.040000153,-0.15082687079999998
Iceland,7.494,10.67408959,72.819999695,0.27236553033333333
India,4.015,8.514222701416667,58.140000025,-0.004539204916666666
Indonesia,5.192,9.122922457153846,60.89230757384615,0.3736985119230769
Iran,4.548,9.782335069444445,64.63555526777778,0.12688000622222223
Iraq,4.437,9.5572555541,58.987999724,-0.0923649766
Ireland,7.021,10.849314530000001,71.6016667675,0.2694769066666667
Israel,7.139,10.340290785,72.49000040666667,0.1375890745
Italy,6.223,10.4812578375,72.9099998475,0.0035206565833333313
Ivory Coast,4.944,8.076874664571429,47.811428615714284,-0.059764146571428575
Jamaica,5.89,9.0109458924,66.252000426,-0.041983435
Japan,5.886,10.520051957272727,74.24727283909091,-0.1564087142727273
Jordan,4.906,9.098709821666667,65.42999998666667,-0.107394342
Kazakhstan,5.809,9.972829891384615,61.292307926153846,-0.167586939
Kenya,4.509,7.873013679846154,56.05384650692308,0.14248008715384616
Kosovo,6.1,9.036586674818182,63.58521721545455,0.10184584581818182
Kuwait,6.021,11.230084576666666,65.31666691833334,-0.07699030833333334
Kyrgyzstan,5.261,7.999432490461539,61.992307222307694,0.03379952015384615
Laos,4.796,8.42350033342857,56.17428479857143,0.3213864415714286
Latvia,5.94,9.995376825666666,65.10000006416666,-0.1311007995
Lebanon,5.197,9.564006964333334,65.57999928583334,0.017424974666666666
Lesotho,3.802,7.897970835333333,46.54666646333333,-0.117339976
Liberia,3.975,6.59850192075,52.94749927375,0.050373907375
Libya,5.525,9.77246976025,62.3899993925,-0.07941006974999999
Lithuania,6.149,10.107635058923076,64.97692313461539,-0.2550428853076923
Luxembourg,7.09,11.433882999,72.213998411,0.0479728486
Macedonia,5.274,9.394006035545454,66.78363661181818,-0.017703278454545456
Madagascar,3.933,7.2476871491,57.036000061,-0.0399471783
Malawi,3.41,6.937991012272727,52.55999963909091,0.10192227236363637
Malaysia,5.339,10.008811603818183,65.80000027727273,0.09584115081818181
Mali,4.39,7.539504766416667,49.188333192500004,-0.049628581
Malta,6.726,10.34483009,71.90888722666666,0.34530218933333334
Mauritania,4.49,8.156725963,55.30999978333333,-0.022191455666666665
Mauritius,5.888,9.8566370008,65.66000061,0.0955118538
Mexico,6.595,9.71033358575,67.07000033083334,-0.12648989358333335
Moldova,5.529,8.365816263153846,62.22307674692308,-0.042540063846153844
Mongolia,5.285,9.192475058909091,60.91818167909091,0.09690938818181818
Montenegro,5.523,9.604349743272728,67.53636377454545,-0.11751557445454545
Morocco,5.208,8.862796187375,64.70000028625,-0.22269055425
Mozambique,4.466,6.8715782847142854,49.06000028142857,0.034056799857142855
Myanmar,4.36,8.517464910142857,58.04857199571428,0.6281995262857143
Namibia,4.639,9.12257456775,54.38500023,-0.16695534274999999
Nepal,4.913,7.663275917416667,60.0000003175,0.15248279325
Netherlands,7.488,10.750220299090909,71.69090895181819,0.2881974713636364
New Zealand,7.307,10.4288194975,72.25,0.27187680075
Nicaragua,6.105,8.411732673692308,65.88461597076923,0.04634922930769231
Niger,4.628,6.746906390538461,50.24615361153846,-0.015538445538461539
Nigeria,5.265,8.536780357454546,46.99090923,0.053618109
Norway,7.554,11.06864535875,72.49999904625,0.128327978
Pakistan,5.653,8.422091960916667,56.75,0.09339198041666667
Palestinian Territories,4.696,8.28738427175,62.07374954,-0.0947855915
Panama,6.321,9.78613677376923,68.73076923076923,-0.011608080230769232
Paraguay,5.743,8.93184534725,64.61666679333334,0.07435237108333333
Peru,5.697,9.26294202076923,66.66923053384616,-0.11085221692307692
Philippines,5.631,8.720824315076923,60.95384627153846,-0.010828882384615386
Poland,6.182,10.0593824375,67.740000152,-0.0634046293
Portugal,5.693,10.200863925454545,71.32363614181818,-0.16955356772727273
Qatar,6.374,11.7291092875,66.90999794,0.09430773725
Romania,6.07,9.887036236363636,65.87636358090909,-0.1458299789090909
Russia,5.648,10.084713055538462,61.70769207307692,-0.2598656953846154
Rwanda,3.334,7.3697682855,57.945999909,0.0090770799
Saudi Arabia,6.375,10.7823268575,64.96000035666667,-0.10723306983333333
Senegal,4.681,7.716239342461538,56.82307698153846,-0.050438818076923075
Serbia,5.603,9.487628676636364,66.78181735,-0.10664273763636363
Sierra Leone,4.374,7.183623270545454,45.10545453090909,0.08071686390909091
Singapore,6.262,11.214671482727272,75.06909041,0.07427498181818182
Slovakia,6.198,10.2053976068,67.62000045799999,-0.0868312321
Slovenia,6.118,10.281543211818182,69.77272727272727,-0.01127304409090909
South Africa,4.722,9.397474582307693,52.42307662923077,-0.129489814
South Korea,5.895,10.361467043333333,71.90666707333334,-0.05228020233333333
South Sudan,2.853,7.487881183333333,50.21333312666667,0.053268509666666665
Spain,6.354,10.397498448333334,73.20999972083334,-0.09114021658333334
Sri Lanka,4.366,9.137228647833334,66.32499949083333,0.1846010395
Sweden,7.343,10.699870349166666,72.08000119666667,0.15112308916666667
Switzerland,7.48,10.94450211625,73.02999973375,0.1312839845
Syria,3.462,8.528595129500001,62.269999821666666,0.14541779983333333
Taiwan Province of China,6.446,10.543287596666666,69.13999939,-0.021819555666666667
Tajikistan,5.467,7.730199495916667,62.44166723916667,7.569125416666666e-4
Tanzania,3.231,7.721510960384616,53.54615372923077,0.11304847915384615
Thailand,6.008,9.558970744769232,65.83846224153847,0.38867611384615386
Togo,4.085,7.182592094,52.55500030625,-0.043884778125
Trinidad and Tobago,6.192,10.327441408,62.540000152,0.070209496800000007
Tunisia,4.461,9.2670145035,65.805999754,-0.1992921532
Turkey,5.373,9.943796633583332,65.02000045833333,-0.17051287
Turkmenistan,5.247,9.517483711333334,60.82666651555555,-0.001877692555555555
Uganda,4.189,7.353104151153846,51.72307704153846,0.043015094692307694
Ukraine,4.332,8.993583532461539,62.63076928923077,-0.12475295061538462
United Arab Emirates,6.825,11.10045957625,66.5274992,0.071554731875
United Kingdom,7.054,10.544249615,71.45999971916666,0.319911598
United States,6.892,10.849577506666666,68.52000045833333,0.19517511108333332
Uruguay,6.293,9.785182659384615,68.26153857923077,-0.09573784838461538
Uzbekistan,6.174,8.486547390666667,63.59333292583334,0.07221028125
Venezuela,4.707,9.655338207833333,65.86499977,-0.18883585308333334
Vietnam,5.175,8.463317473666667,66.76666704833333,0.015538279166666665
Yemen,3.38,8.12584537911111,54.25555504888889,-0.12861161533333335
Zambia,4.107,8.106403311,50.98333327,-0.0061545609999999985
Zimbabwe,3.663,7.427388081230769,49.26923076923077,-0.06523047738461539
